displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
Amazon,2/3/10,Touch Screen Technology,Touchco,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/25/14,"Twitch is a company that develops a social video platform and community for gamers, video game culture, and the creative arts. ",Twitch,970000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,7/2/12,"Upnext is an interactive 3D mapping platform engaged indigital strategy, mobile application developmentand user experience design.",UpNext,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/28/17,Whole Foods Market is engaged in the business of natural and organic foods supermarkets.,Whole Foods Market,13200000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,1/18/08,Without A Box is an online application submission service for film festivals.,Without A Box,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,6/30/10,Woot.com is an online store and community that focuses on selling discounted products.,Woot,110000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,9/8/11,Setup recurring & one-time payments easily with Stripe,Yap,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,7/22/09,Zappos is an online retailer specializing in shoes and apparel.,Zappos,1200000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Arcadia,6/30/98,,Wade Smith,,"['consumer goods', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail'],67270000,,1205
Arcadia,12/31/09,,Bhs Group Limeted,,"['consumer goods', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail'],67270000,,1205
