,displayName,tags,major_tags
1134,Sonance,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'audio']",['Manufacturing & Industrial']
1135,TKO Sports,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'fitness & wellness']",['Manufacturing & Industrial']
1136,OneSource Water,"['consumer goods', 'Manufacturing & Industrial', 'water', 'distribution']",['Manufacturing & Industrial']
1137,Innocor,"['mattress', 'consumer goods', 'Manufacturing & Industrial', 'distribution', 'ecommerce', 'furniture']",['Manufacturing & Industrial']
1138,American Achievement Corporation,"['consumer goods', 'Manufacturing & Industrial', 'watches', 'jewellery', 'Retail']","['Manufacturing & Industrial', 'Retail']"
1139,Corep Lighting,"['consumer goods', 'Manufacturing & Industrial', 'lighting']",['Manufacturing & Industrial']
1140,VIP Industries,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'accessories', 'clothing']",['Manufacturing & Industrial']
1141,Thule Group,"['consumer goods', 'sport', 'clothing', 'transportation', 'Retail', 'footwear']",['Retail']
1142,Hydraulique PB,"['consumer goods', 'Manufacturing & Industrial', 'engineering']",['Manufacturing & Industrial']
1143,Jeronimo Martins,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'distribution', 'Retail', 'used goods']","['Food & Beverage', 'Manufacturing & Industrial', 'Retail']"
1144,Gabriel Holding,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'clothing']",['Manufacturing & Industrial']
1145,Jays Group,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'accessories', 'cables', 'Technology']","['Manufacturing & Industrial', 'Technology']"
1146,Valsoia,"['Food & Beverage', 'groceries', 'consumer goods', 'Manufacturing & Industrial', 'sport', 'transportation', 'lifestyle', 'Retail', 'agritech']","['Food & Beverage', 'Manufacturing & Industrial', 'Retail']"
1147,Caterpillar,"['Manufacturing & Industrial', 'machinery', 'heavy equipment', 'auto parts', 'construction equipment', 'mechanical components', 'art', 'engines']",['Manufacturing & Industrial']
1148,Ainsworth Pet Nutrition,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'pets']","['Food & Beverage', 'Manufacturing & Industrial']"
1149,Nireus Aquaculture,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'farming', 'Agriculture']","['Food & Beverage', 'Manufacturing & Industrial', 'Agriculture']"
1150,Philippos Nakas,"['consumer goods', 'electronics', 'consumer electronics', 'distribution', 'music', 'Retail']",['Retail']
