,blacklisted,companyType,displayName,foundedYear,logo,parentCompany,stockTicker,stocksSummary,totalFunding,valuation
99,[],public,Altria,1985,{'url': 'https://uploads4.craft.co/uploads/company/logo/2304xx/230419/normal_AG_pos_fullws_nor_a.jpg'},,MO,79319526000.0,0 USD,79319526000 USD
100,[],public,Kimball International,1950,{'url': 'https://uploads5.craft.co/uploads/company/logo/1905xx/190526/normal_fbd1821b8935ebf0.jpg'},,KBAL,709190400.0,0 USD,709190400 USD
101,[],public,Imperial Brands,1901,{'url': 'https://uploads4.craft.co/uploads/company/logo/1704xx/170417/normal_0b7b32aed4706e28.jpg'},,IMB.L,,0 USD,
102,[],public,Knoll,1938,{'url': 'https://uploads4.craft.co/uploads/company/logo/1682xx/168294/normal_30cafa6d034cac2b.png'},,KNL,1199601600.0,0 USD,1199601600 USD
103,[],public,Morrisons,1899,{'url': 'https://uploads1.craft.co/uploads/company/logo/93xx/9342/normal_twitter_news_2.jpg'},,MRW.L,5220000000.0,0 USD,
104,[],public,The Scotts Miracle-Gro,1868,{'url': 'https://uploads4.craft.co/uploads/company/logo/2493xx/249382/normal_1938d5154c99ef63.png'},,SMG,5702871720.0,0 USD,5702871720 USD
105,[],private,Secret Sales,2007,{'url': 'https://uploads1.craft.co/uploads/company/logo/15xx/1580/normal_NLXgNj_Z.jpg'},,,,17500000 USD,
106,[],public,Gear4music,2003,{'url': 'https://uploads2.craft.co/uploads/company/logo/865xx/86544/normal_vOeurLnK.jpeg'},,G4M.L,163260000.0,5400000 USD,
107,[],public,Crystal Rock Holdings,1914,{'url': 'https://uploads3.craft.co/uploads/company/logo/1933xx/193309/normal_W9uApQm7.jpeg'},,CRVP,20615138.0,0 USD,20615138 USD
108,[],subsidiary,Topshop Topman,1964,{'url': 'https://uploads4.craft.co/uploads/company/logo/2438xx/243801/normal_OcQ76Sd0_400x400.jpeg'},{'displayName': 'Arcadia'},,,805000000 USD,
109,[],public,Tupperware Brands,1946,{'url': 'https://uploads4.craft.co/uploads/company/logo/1397xx/139770/normal_mq1.jpg'},,TUP,738222960.0,0 USD,738222960 USD
110,[],public,Hanesbrands,1901,{'url': 'https://uploads2.craft.co/uploads/company/logo/1262xx/126230/normal_hanesbrands_416x416.jpg'},,HBI,5231527210.0,0 USD,5231527210 USD
111,[],public,Libbey,1987,{'url': 'https://uploads3.craft.co/uploads/company/logo/2473xx/247336/normal_Lek-n_Zw.png'},,LBY,53185860.0,0 USD,53185860 USD
112,[],subsidiary,Mattress Firm,1986,{'url': 'https://uploads2.craft.co/uploads/company/logo/1950xx/195076/normal_p1h9Qz6b.png'},{'displayName': 'Steinhoff International'},,2377767995.60175,0 USD,
